,checking_account_status,duration_months,credit_history,purpose,credit_amount,savings_account,employment_since,installment_rate,personal_status_sex,other_debtors,residence_since,property,age,other_installment_plans,housing,existing_credits,job,people_liable,telephone,foreign_worker,target
count,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
unique,4.0,,5.0,10.0,,5.0,5.0,4.0,4.0,3.0,4.0,4.0,,3.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0
top,4.0,,2.0,3.0,,1.0,3.0,4.0,3.0,1.0,4.0,3.0,,3.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0
freq,394.0,,530.0,280.0,,603.0,339.0,476.0,548.0,907.0,413.0,332.0,,814.0,714.0,633.0,630.0,845.0,596.0,963.0,700.0
mean,,20.903,,,3271.248,,,,,,,,35.542,,,,,,,,
std,,12.058814452756375,,,2822.751759895651,,,,,,,,11.352670131696733,,,,,,,,
min,,4.0,,,250.0,,,,,,,,19.0,,,,,,,,
25%,,12.0,,,1365.5,,,,,,,,27.0,,,,,,,,
50%,,18.0,,,2319.5,,,,,,,,33.0,,,,,,,,
75%,,24.0,,,3972.25,,,,,,,,42.0,,,,,,,,
max,,72.0,,,18424.0,,,,,,,,75.0,,,,,,,,
